District_Name,UnitName,FIRNo,RI,Year,Month,Offence_From_Date,Offence_To_Date,FIR_Reg_DateTime,FIR_Date,FIR Type,FIR_Stage,Complaint_Mode,CrimeGroup_Name,CrimeHead_Name,Latitude,Longitude,ActSection,IOName,KGID,IOAssigned_Date,Internal_IO,Place of Offence,Distance from PS,Beat_Name,Village_Area_Name,Male,Female,Boy,Girl,Age 0,VICTIM COUNT,Accused Count,Arrested Male,Arrested Female,Arrested Count	No.,Accused_ChargeSheeted Count,Conviction Count,FIR_ID,Unit_ID,Crime_No
Bagalkot,Amengad PS,0011/2016,1,2016,1,2016-01-23 12:30:00.000,2016-01-23 12:35:00.000,2016-01-24 16:30:00.000,24/01/2016,Non Heinous,Convicted,Written,MOTOR VEHICLE ACCIDENTS NON-FATAL,Other Roads,0.0000000000000000000000,0.0000000000000000000000,"IPC 1860 U/s: 338,337,283,279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 196,181,3,146 ",R S BIRADAR   (PI),1898733,NULL,42900007,"ILAL VADAGERI ROAD NEAR VADAGERI SCHOOL, ILAL VADAGERI ROAD NEAR VADAGERI SCHOOL",SOUTH FROM PS 20 KM,OP RURAL BEAT NO 28,DAMMUR,2,0,0,0,0,0,2,2,0,2,2,0,2016000012,1245,10470124520160011
Bagalkot,Amengad PS,0012/2016,1,2016,1,2016-01-24 10:30:00.000,2016-01-24 10:35:00.000,2016-01-25 17:00:00.000,25/01/2016,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,0.0000000000000000000000,0.0000000000000000000000,"IPC 1860 U/s: 279,337,338,304(A) ",Karuneshagowda J   (PI),1820048,NULL,97500025,"GUDUR  BUS STAND, GUDUR  BUS STAND",NORTH FROM PS 14 KM,GUDUR TOWN BEAT NO 21,GUDUR,1,0,0,0,0,0,1,1,0,1,1,0,2016000013,1245,10470124520160012
Bagalkot,Amengad PS,0013/2016,1,2016,1,2016-01-27 20:00:00.000,2016-01-27 20:05:00.000,2016-01-27 21:15:00.000,27/01/2016,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),0.0000000000000000000000,0.0000000000000000000000,"KARNATAKA POLICE ACT, 1963 U/s: 78(III) ",C.A.KALABURGI   (ASI),1018998,NULL,188800009,"GUDUR HULLESHWAR CINIMA THEATER NEAR PUBLIC PLACE, GUDUR HULLESHWAR CINIMA THEATER NEAR PUBLIC PLACE",SOUTH FROM PS 14 KM,GUDUR TOWN BEAT NO 21,GUDUR,0,0,0,0,0,0,2,2,0,2,2,0,2016000014,1245,10470124520160013
Bagalkot,Amengad PS,0014/2016,1,2016,1,2015-09-29 08:00:00.000,2016-01-29 10:00:00.000,2016-01-29 19:30:00.000,29/01/2016,Non Heinous,BoundOver,Sue-moto by Police,CrPC,Security For Good Behaviour (Sec 107 ),0.0000000000000000000000,0.0000000000000000000000,"CODE OF CRIMINAL PROCEDURE, 1973 U/s: 107 ",Irappa Hadapad Rangappa Hadapad (ASI),644543,NULL,188800125,"KAMATAGI VILLAGE BUS STAND, KAMATAGI VILLAGE BUS STAND",WEST FROM PS 14 KM,RURAL BEAT NO 13,KAMATAGI,0,0,0,0,0,0,2,0,0,0,2,0,2016000015,1245,10470124520160014
Bagalkot,Amengad PS,0015/2016,1,2016,1,2015-12-06 12:30:00.000,2015-12-06 12:35:00.000,2016-01-31 13:00:00.000,31/01/2016,Non Heinous,Pending Trial,Written,CRUELTY BY HUSBAND,"Husband And Relative(S) In Law ",0.0000000000000000000000,0.0000000000000000000000,"IPC 1860 U/s: 149,504,498A,494 CHILD MARRIAGE RESTRAINT ACT U/s: 6,5,4 ",R S BIRADAR   (PI),1898733,NULL,42900007,"KALUR VILLAGE ACCUSED HOUSE, KALUR VILLAGE ACCUSED HOUSE",SOUTH FROM PS 9 KM,GUDUR OP BEAT NO 24,UPANAL,0,1,0,0,0,0,9,5,2,7,5,0,2016000016,1245,10470124520160015
Bagalkot,Amengad PS,0016/2016,1,2016,2,2016-02-01 19:15:00.000,2016-02-01 19:20:00.000,2016-02-01 20:30:00.000,01/02/2016,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),0.0000000000000000000000,0.0000000000000000000000,"KARNATAKA POLICE ACT, 1963 U/s: 78(III) ",Irappa Hadapad Rangappa Hadapad (ASI),644543,NULL,188800125,"AMINAGAD BUS STAND NEAR, AMINAGAD BUS STAND NEAR",WEST FROM 500 MM,AMINAGAD TOWN BEAT NO 1,AMINAGAD,0,0,0,0,0,0,2,2,0,2,2,0,2016000017,1245,10470124520160016
Bagalkot,Amengad PS,0017/2016,1,2016,2,2016-02-03 19:45:00.000,2016-02-03 19:50:00.000,2016-02-03 21:30:00.000,03/02/2016,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),0.0000000000000000000000,0.0000000000000000000000,"KARNATAKA POLICE ACT, 1963 U/s: 78(III) ",Irappa Hadapad Rangappa Hadapad (ASI),644543,NULL,188800125,"CHIKKAMAGI BUS STAND NEAR, CHIKKAMAGI BUS STAND NEAR",SOUTH FROM PS 15 KM,RURAL BEAT NO 13,KAMATAGI,0,0,0,0,0,0,1,1,0,1,1,0,2016000018,1245,10470124520160017
Bagalkot,Amengad PS,0018/2016,1,2016,2,2016-02-05 11:10:00.000,2016-02-05 11:15:00.000,2016-02-05 12:30:00.000,05/02/2016,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),0.0000000000000000000000,0.0000000000000000000000,"KARNATAKA POLICE ACT, 1963 U/s: 78(III) ",C.A.KALABURGI   (ASI),1018998,NULL,188800009,"GUDUR VILLAGE BUS STAND NEAR PUBLIC PLEC, GUDUR VILLAGE BUS STAND NEAR PUBLIC PLEC",SOUTH FROM PS 14 KM,GUDUR TOWN BEAT NO 21,GUDUR,0,0,0,0,0,0,1,1,0,1,1,0,2016000019,1245,10470124520160018
Bagalkot,Amengad PS,0019/2016,1,2016,2,2016-02-06 14:45:00.000,2016-02-06 14:50:00.000,2016-02-06 16:10:00.000,06/02/2016,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),0.0000000000000000000000,0.0000000000000000000000,"KARNATAKA POLICE ACT, 1963 U/s: 78(III) ",C.A.KALABURGI   (ASI),1018998,NULL,188800009,"AMINAGAD VILLAGE CHITTARAGI CRASS NEAR PUBLI PLEC, AMINAGAD VILLAGE CHITTARAGI CRASS NEAR PUBLI PLEC",EAST FROM PS 1 KM,AMINAGAD TOWN BEAT NO 1,AMINAGAD,0,0,0,0,0,0,2,2,0,2,2,1,2016000020,1245,10470124520160019
Bagalkot,Amengad PS,0020/2016,1,2016,2,2016-02-06 16:30:00.000,2016-02-06 16:35:00.000,2016-02-06 18:15:00.000,06/02/2016,Non Heinous,Convicted,Sue-moto by Police,KARNATAKA POLICE ACT 1963,Street Gambling (87),0.0000000000000000000000,0.0000000000000000000000,"KARNATAKA POLICE ACT, 1963 U/s: 87 ",C.A.KALABURGI   (ASI),1018998,NULL,188800009,"KELUR VILLAGE IN FRONT OF NEELAPPAN TEMPEL PUBLI, KELUR VILLAGE IN FRONT OF NEELAPPAN TEMPEL PUBLI",SOUTH FROM PS 9 K M,GUDUR OP BEAT NO 24,UPANAL,0,0,0,0,0,0,5,5,0,5,5,0,2016000021,1245,10470124520160020
Bagalkot,Amengad PS,0021/2016,1,2016,2,2016-02-07 18:00:00.000,2016-02-07 18:05:00.000,2016-02-08 02:00:00.000,08/02/2016,Non Heinous,Dis/Acq,Written,ATTEMPT TO MURDER,"Due To Other Causes  ",0.0000000000000000000000,0.0000000000000000000000,"IPC 1860 U/s: 326,307 ",R S BIRADAR   (PI),1898733,NULL,42900007,"ILAL VILLAGE ACCUSED FARM HOUSE, ILAL VILLAGE ACCUSED FARM HOUSE",SOUTH FROM PS 20,OP RURAL BEAT NO 28,DAMMUR,1,0,0,0,0,0,1,1,0,1,1,0,2016000023,1245,10470124520160021
Bagalkot,Amengad PS,0022/2016,1,2016,2,2015-08-08 08:00:00.000,2016-02-08 16:00:00.000,2016-02-08 20:00:00.000,08/02/2016,Non Heinous,BoundOver,Sue-moto by Police,CrPC,Security For Good Behaviour (Sec 107 ),0.0000000000000000000000,0.0000000000000000000000,"CODE OF CRIMINAL PROCEDURE, 1973 U/s: 107 ",R S BIRADAR   (PI),1898733,NULL,42900007,"HUVINAHALLI VILLAGE, HUVINAHALLI VILLAGE",WEST FROM PS 15 KM,RURAL BEAT NO 3,AIHOLE,0,0,0,0,0,0,8,0,0,0,8,0,2016000024,1245,10470124520160022
Bagalkot,Amengad PS,0023/2016,1,2016,2,2016-02-09 15:00:00.000,2016-02-09 15:05:00.000,2016-02-09 16:30:00.000,09/02/2016,Non Heinous,Convicted,Sue-moto by Police,CHEATING,CHEATING,0.0000000000000000000000,0.0000000000000000000000,"IPC 1860 U/s: 420 KARNATAKA POLICE ACT, 1963 U/s: 78(III) ",Irappa Hadapad Rangappa Hadapad (ASI),644543,NULL,188800125,"GUDUR BUS STAND PUBLIC PLACE, GUDUR BUS STAND PUBLIC PLACE",SOUTH FROM 14 KM,GUDUR TOWN BEAT NO 21,GUDUR,0,0,0,0,0,0,2,1,0,1,2,0,2016000025,1245,10470124520160023
Bagalkot,Amengad PS,0024/2016,1,2016,2,2016-02-10 15:00:00.000,2016-02-10 15:05:00.000,2016-02-10 20:10:00.000,10/02/2016,Heinous,Pending Trial,Written,MOTOR VEHICLE ACCIDENTS FATAL,Other Roads,0.0000000000000000000000,0.0000000000000000000000,"IPC 1860 U/s: 304(A),279 INDIAN MOTOR VEHICLES ACT, 1988 U/s: 181,3 ",Karuneshagowda J   (PI),1820048,NULL,97500025,"GUDUR  TO MURADI ROAD GURUPADAYYA KVATI FILEID NEA, GUDUR  TO MURADI ROAD GURUPADAYYA KVATI FILEID NEA",SOUTH FROM PS 16 KM,GUDUR TOWN BEAT NO 21,GUDUR,0,1,0,0,0,0,1,1,0,1,1,0,2016000026,1245,10470124520160024
Bagalkot,Amengad PS,0025/2016,1,2016,2,2015-11-10 10:00:00.000,2016-02-10 10:00:00.000,2016-02-10 21:00:00.000,10/02/2016,Non Heinous,Other Disposal,Sue-moto by Police,CrPC,Security For Good Behaviour (Sec 107 ),0.0000000000000000000000,0.0000000000000000000000,"CODE OF CRIMINAL PROCEDURE, 1973 U/s: 107 ",R S BIRADAR   (PI),1898733,NULL,42900007,"ILAL VILLEGE, ILAL VILLEGE",SOUTH FROM PS 20,OP RURAL BEAT NO 28,DAMMUR,0,0,0,0,0,0,34,0,0,0,34,0,2016000027,1245,10470124520160025
Bagalkot,Amengad PS,0026/2016,1,2016,2,2015-11-10 10:30:00.000,2016-02-10 15:00:00.000,2016-02-10 22:30:00.000,10/02/2016,Non Heinous,BoundOver,Sue-moto by Police,CrPC,Security For Good Behaviour (Sec 107 ),0.0000000000000000000000,0.0000000000000000000000,"CODE OF CRIMINAL PROCEDURE, 1973 U/s: 107 ",R S BIRADAR   (PI),1898733,NULL,42900007,"MULLUR VILLAGE, MULLUR VILLAGE",WEST FROM PS 18 KM,RURAL BEAT NO 3,AIHOLE,0,0,0,0,0,0,13,0,0,0,13,0,2016000028,1245,10470124520160026
Bagalkot,Amengad PS,0027/2016,1,2016,2,2015-02-11 10:00:00.000,2016-02-11 10:00:00.000,2016-02-11 14:00:00.000,11/02/2016,Non Heinous,BoundOver,Sue-moto by Police,CrPC,Security For Good Behaviour (Sec 107 ),0.0000000000000000000000,0.0000000000000000000000,"CODE OF CRIMINAL PROCEDURE, 1973 U/s: 107 ",S G HELVAR   (ASI),1270757,NULL,124000015,"TALLIKERI VILLAGE, TALLIKERI VILLAGE",SOUTH FROM PS 8 KM,RURAL BEAT NO 6,SULEBAVI,0,0,0,0,0,0,19,0,0,0,19,0,2016000029,1245,10470124520160027
Bagalkot,Amengad PS,0028/2016,1,2016,2,2014-08-11 10:00:00.000,2016-02-11 10:00:00.000,2016-02-11 15:30:00.000,11/02/2016,Non Heinous,BoundOver,Sue-moto by Police,CrPC,Security For Good Behaviour (Sec 107 ),0.0000000000000000000000,0.0000000000000000000000,"CODE OF CRIMINAL PROCEDURE, 1973 U/s: 107 ",S G HELVAR   (ASI),1270757,NULL,124000015,"BENAL VILLAGE, BENAL VILLAGE",WEST FROM PS 10 KM,RURAL BEAT NO 13,KAMATAGI,0,0,0,0,0,0,12,0,0,0,12,0,2016000030,1245,10470124520160028
Bagalkot,Amengad PS,0029/2016,1,2016,2,2015-08-11 16:45:00.000,2016-02-11 08:00:00.000,2016-02-11 16:45:00.000,11/02/2016,Non Heinous,BoundOver,Sue-moto by Police,CrPC,Security For Good Behaviour (Sec 107 ),0.0000000000000000000000,0.0000000000000000000000,"CODE OF CRIMINAL PROCEDURE, 1973 U/s: 107 ",S G HELVAR   (ASI),1270757,NULL,124000015,"RAMTHAL VILLAGE, RAMTHAL VILLAGE",SOUTH FROM PS 10 KM,RURAL BEAT NO 3,AIHOLE,0,0,0,0,0,0,7,0,0,0,7,0,2016000031,1245,10470124520160029
Bagalkot,Amengad PS,0030/2016,1,2016,2,2015-02-11 10:00:00.000,2016-02-11 14:00:00.000,2016-02-11 18:00:00.000,11/02/2016,Non Heinous,BoundOver,Sue-moto by Police,CrPC,Security For Good Behaviour (Sec 107 ),0.0000000000000000000000,0.0000000000000000000000,"CODE OF CRIMINAL PROCEDURE, 1973 U/s: 107 ",S G HELVAR   (ASI),1270757,NULL,124000015,"NIMBALAGUNDI VILLAGE, NIMBALAGUNDI VILLAGE",SOUTH FROM PS 10,RURAL BEAT NO 3,AIHOLE,0,0,0,0,0,0,11,0,0,0,11,0,2016000032,1245,10470124520160030
Bagalkot,Amengad PS,0031/2016,1,2016,2,2016-02-11 19:00:00.000,2016-02-11 19:05:00.000,2016-02-11 20:30:00.000,11/02/2016,Non Heinous,Pending Trial,Sue-moto by Police,Karnataka State Local Act,Karnataka Excise Act 1965,0.0000000000000000000000,0.0000000000000000000000,"KARNATAKA EXCISE ACT, 1965 U/s: 34,32 ",R S BIRADAR   (PI),1898733,NULL,42900007,"SULEBAVI VILLAGE DURGA TEMPAL NEAR PUBLIC PLECE, SULEBAVI VILLAGE DURGA TEMPAL NEAR PUBLIC PLECE",SOUTH FROM PS 1 KM,RURAL BEAT NO 6,SULEBAVI,0,0,0,0,0,0,1,0,0,0,1,0,2016000033,1245,10470124520160031
Bagalkot,Amengad PS,0032/2016,1,2016,2,2016-02-11 19:30:00.000,2016-02-11 19:35:00.000,2016-02-11 21:30:00.000,11/02/2016,Non Heinous,Pending Trial,Sue-moto by Police,Karnataka State Local Act,Karnataka Excise Act 1965,0.0000000000000000000000,0.0000000000000000000000,"KARNATAKA EXCISE ACT, 1965 U/s: 34,32 ",R S BIRADAR   (PI),1898733,NULL,42900007,"HIREMAGI VILLAGE IN FRONT ACCESED HOUSE, HIREMAGI VILLAGE IN FRONT ACCESED HOUSE",NORTH FROM PS 8 KM,RURAL BEAT NO 16,MADAPUR,0,0,0,0,0,0,1,0,0,0,1,0,2016000034,1245,10470124520160032
Bagalkot,Amengad PS,0033/2016,1,2016,2,2016-02-11 20:45:00.000,2016-02-11 20:50:00.000,2016-02-11 22:30:00.000,11/02/2016,Non Heinous,Pending Trial,Sue-moto by Police,Karnataka State Local Act,Karnataka Excise Act 1965,0.0000000000000000000000,0.0000000000000000000000,"KARNATAKA EXCISE ACT, 1965 U/s: 34,32 ",C.A.KALABURGI   (ASI),1018998,NULL,188800009,"MADAPUR VILLAGE  DURGADEVI TEMPAL PUBLIC PLECA, MADAPUR VILLAGE  DURGADEVI TEMPAL PUBLIC PLECA",NORTH FROM PS 7 KM,RURAL BEAT NO 16,MADAPUR,0,0,0,0,0,0,1,0,0,0,1,0,2016000035,1245,10470124520160033
Bagalkot,Amengad PS,0034/2016,1,2016,2,2016-02-11 21:40:00.000,2016-02-11 21:45:00.000,2016-02-11 23:30:00.000,11/02/2016,Non Heinous,Pending Trial,Sue-moto by Police,Karnataka State Local Act,Karnataka Excise Act 1965,0.0000000000000000000000,0.0000000000000000000000,"KARNATAKA EXCISE ACT, 1965 U/s: 34,32 ",C.A.KALABURGI   (ASI),1018998,NULL,188800009,"KALLIGUDDA  MULLUR ROAD DABA, KALLIGUDDA  MULLUR ROAD DABA",NORTH FROM PS 15 KM,RURAL BEAT NO 3,AIHOLE,0,0,0,0,0,0,1,0,0,0,1,0,2016000036,1245,10470124520160034
Bagalkot,Amengad PS,0035/2016,1,2016,2,2014-02-12 10:00:00.000,2016-02-12 08:00:00.000,2016-02-12 09:00:00.000,12/02/2016,Non Heinous,BoundOver,Sue-moto by Police,CrPC,Security For Good Behaviour (Sec 107 ),0.0000000000000000000000,0.0000000000000000000000,"CODE OF CRIMINAL PROCEDURE, 1973 U/s: 107 ",S G HELVAR   (ASI),1270757,NULL,124000015,"MURUDI VILLAGE, MURUDI VILLAGE",SOUTH FROM PS TOWARDS 18 KM,OP RURAL BEAT NO 28,DAMMUR,0,0,0,0,0,0,16,0,0,0,16,0,2016000037,1245,10470124520160035
Bagalkot,Amengad PS,0036/2016,1,2016,2,2015-02-12 10:00:00.000,2016-02-12 09:00:00.000,2016-02-12 10:00:00.000,12/02/2016,Non Heinous,BoundOver,Sue-moto by Police,CrPC,Security For Good Behaviour (Sec 107 ),0.0000000000000000000000,0.0000000000000000000000,"CODE OF CRIMINAL PROCEDURE, 1973 U/s: 107 ",S G HELVAR   (ASI),1270757,NULL,124000015,"HIREMAGI VILLAGE, HIREMAGI VILLAGE",NORTH FROM PS TOWARDS 8 KM,RURAL BEAT NO 16,MADAPUR,0,0,0,0,0,0,7,0,0,0,7,0,2016000038,1245,10470124520160036
Bagalkot,Amengad PS,0037/2016,1,2016,2,2015-02-08 10:00:00.000,2016-02-12 09:00:00.000,2016-02-12 11:00:00.000,12/02/2016,Non Heinous,BoundOver,Sue-moto by Police,CrPC,Security For Good Behaviour (Sec 107 ),0.0000000000000000000000,0.0000000000000000000000,"CODE OF CRIMINAL PROCEDURE, 1973 U/s: 107 ",S G HELVAR   (ASI),1270757,NULL,124000015,"KELUR VILLAGE, KELUR VILLAGE",SOUTH FROM PS TOWARDS 10 KM,GUDUR OP BEAT NO 24,UPANAL,0,0,0,0,0,0,8,0,0,0,8,0,2016000039,1245,10470124520160037
Bagalkot,Amengad PS,0038/2016,1,2016,2,2016-02-12 15:30:00.000,2016-02-12 15:35:00.000,2016-02-12 17:30:00.000,12/02/2016,Non Heinous,Convicted,Written,ELECTION,Other Elected Bodies,0.0000000000000000000000,0.0000000000000000000000,"IPC 1860 U/s: 188,171E ",R S BIRADAR   (PI),1898733,NULL,42900007,"BENAL VILLAGE, BENAL VILLAGE",WEST FROM PS TOWARDS 12 KM,RURAL BEAT NO 13,KAMATAGI,0,0,0,0,0,0,1,1,0,1,1,1,2016000040,1245,10470124520160038
Bagalkot,Amengad PS,0039/2016,1,2016,2,2016-02-13 13:30:00.000,2016-02-13 13:35:00.000,2016-02-13 16:00:00.000,13/02/2016,Non Heinous,Pending Trial,Written," REPRESENTATION OF PEOPLE ACT 1951 & 1988",Other Elected Bodies,0.0000000000000000000000,0.0000000000000000000000,"REPRESENTATION OF PEOPLE ACT, 1950,1951,1989 U/s: 133 ",R S BIRADAR   (PI),1898733,NULL,42900007,"SULEBHAVI VILLAGE, SULEBHAVI VILLAGE",SOUTH FROM PS TOWARDS 3 KM,RURAL BEAT NO 6,SULEBAVI,0,0,0,0,0,0,1,1,0,1,1,0,2016000041,1245,10470124520160039
